,Correlação
V00002,-0.03729986660600415
V00128,-0.03896806388732362
V00135,-0.04739353226719506
V00399,-0.049148043314073915
V00314,-0.057650599689606744
V00309,-0.059253032388739066
V00397,-0.060466394145169244
V00111,-0.06128907409091766
V00199,-0.06271889432291038
V00001,-0.06290152345796649
V00004,-0.06290152345796649
V00119,-0.0678774159880794
V00463,-0.07385257818173985
V00127,-0.07827611298081989
V00398,-0.07878470356885142
V00112,-0.08654545561526211
V00310,-0.09739737789303564
V00313,-0.10589978854736322
V00120,-0.11742676007175533
V00200,-0.11902988222545752
V00201,-0.12623106953628593
V00465,-0.13101456193888972
V00113,-0.16123637408370178
V00121,-0.16237923982796612
V00311,-0.1799472709412309
V00312,-0.19131927078644936
V00464,-0.19432112512543123
V00466,-0.1951451865146599
V00114,-0.201908224276777
V00122,-0.20332997024910213
