CD_MUN,NM_MUN_x,Total_notificados__43,Total_confirmados_autóctones,Total_confirmados_importados,Total_confirmados_anual
3500105,Adamantina,2141,1357,1,1358
3500204,Adolfo,297,176,0,176
3500303,Aguaí,44,5,1,6
3500402,Águas da Prata,11,0,0,0
3500501,Águas de Lindóia,101,11,11,22
3500550,Águas de Santa Bárbara,88,46,4,50
3500600,Águas de São Pedro,110,16,8,24
3500709,Agudos,399,253,7,260
3500758,Alambari,8,1,0,1
3500808,Alfredo Marcondes,590,189,116,305
3500907,Altair,112,31,8,39
3501004,Altinópolis,55,6,4,10
3501103,Alto Alegre,358,329,10,339
3501152,Alumínio,49,4,3,7
3501202,Álvares Florence,796,437,1,438
3501301,Álvares Machado,1220,651,7,658
3501400,Álvaro de Carvalho,250,105,2,107
3501509,Alvinlândia,41,14,2,16
3501608,Americana,6443,4299,11,4310
3501707,Américo Brasiliense,3987,3390,20,3410
3501806,Américo de Campos,773,418,10,428
3501905,Amparo,183,20,8,28
3502002,Analândia,144,39,6,45
3502101,Andradina,2743,1960,1,1961
3502200,Angatuba,29,8,3,11
3502309,Anhembi,19,8,0,8
3502408,Anhumas,444,289,3,292
3502507,Aparecida,126,41,1,42
3502606,Aparecida d'Oeste,433,376,10,386
3502705,Apiaí,11,3,2,5
3502754,Araçariguama,32,1,4,5
3502804,Araçatuba,15754,2811,11,2822
3502903,Araçoiaba da Serra,186,14,4,18
3503000,Aramina,17,9,1,10
3503109,Arandu,13,0,0,0
3503158,Arapeí,0,0,0,0
3503208,Araraquara,27903,20804,124,20928
3503307,Araras,4290,2917,20,2937
3503356,Arco-Íris,159,104,2,106
3503406,Arealva,66,40,1,41
3503505,Areias,14,0,0,0
3503604,Areiópolis,50,14,1,15
3503703,Ariranha,193,66,0,66
3503802,Artur Nogueira,646,265,7,272
3503901,Arujá,237,85,2,87
3503950,Aspásia,277,195,4,199
3504008,Assis,880,463,3,466
3504107,Atibaia,1558,1115,6,1121
3504206,Auriflama,447,284,6,290
3504305,Avaí,56,41,2,43
3504404,Avanhandava,316,297,0,297
3504503,Avaré,283,93,1,94
3504602,Bady Bassitt,2294,171,168,339
3504701,Balbinos,17,6,0,6
3504800,Bálsamo,549,448,0,448
3504909,Bananal,5,0,2,2
3505005,Barão de Antonina,143,93,2,95
3505104,Barbosa,645,73,2,75
3505203,Bariri,62,14,6,20
3505302,Barra Bonita,715,272,71,343
3505351,Barra do Chapéu,3,0,0,0
3505401,Barra do Turvo,43,12,0,12
3505500,Barretos,5052,2018,3,2021
3505609,Barrinha,1017,383,4,387
3505708,Barueri,451,45,13,58
3505807,Bastos,1089,652,0,652
3505906,Batatais,1798,1245,92,1337
3506003,Bauru,6211,3820,11,3831
3506102,Bebedouro,1574,526,2,528
3506201,Bento de Abreu,83,58,9,67
3506300,Bernardino de Campos,52,7,0,7
3506359,Bertioga,1014,144,2,146
3506409,Bilac,228,161,2,163
3506508,Birigui,12614,9546,90,9636
3506607,Biritiba Mirim,254,49,5,54
3506706,Boa Esperança do Sul,1659,755,3,758
3506805,Bocaina,342,309,0,309
3506904,Bofete,55,2,2,4
3507001,Boituva,306,84,4,88
3507100,Bom Jesus dos Perdões,107,56,0,56
3507159,Bom Sucesso de Itararé,11,0,1,1
3507209,Borá,96,64,2,66
3507308,Boracéia,29,18,1,19
3507407,Borborema,2146,1528,5,1533
3507456,Borebi,195,133,34,167
3507506,Botucatu,990,244,28,272
3507605,Bragança Paulista,607,234,17,251
3507704,Braúna,329,295,0,295
3507753,Brejo Alegre,202,146,1,147
3507803,Brodowski,169,64,2,66
3507902,Brotas,771,321,24,345
3508009,Buri,122,3,1,4
3508108,Buritama,1827,1654,3,1657
3508207,Buritizal,89,43,1,44
3508306,Cabrália Paulista,132,43,2,45
3508405,Cabreúva,230,33,2,35
3508504,Caçapava,385,92,9,101
3508603,Cachoeira Paulista,197,15,0,15
3508702,Caconde,16,5,0,5
3508801,Cafelândia,154,79,1,80
3508900,Caiabu,184,40,26,66
3509007,Caieiras,302,80,2,82
3509106,Caiuá,125,47,1,48
3509205,Cajamar,478,48,91,139
3509254,Cajati,10,3,0,3
3509304,Cajobi,393,231,3,234
3509403,Cajuru,145,3,0,3
3509452,Campina do Monte Alegre,0,0,0,0
3509502,Campinas,19019,11241,34,11275
3509601,Campo Limpo Paulista,387,102,4,106
3509700,Campos do Jordão,32,0,4,4
3509809,Campos Novos Paulista,316,207,0,207
3509908,Cananéia,14,2,0,2
3509957,Canas,7,0,0,0
3510005,Cândido Mota,353,53,7,60
3510104,Cândido Rodrigues,101,53,0,53
3510153,Canitar,251,53,6,59
3510203,Capão Bonito,116,18,9,27
3510302,Capela do Alto,303,10,13,23
3510401,Capivari,460,126,1,127
3510500,Caraguatatuba,5733,217,7,224
3510609,Carapicuíba,536,148,4,152
3510708,Cardoso,299,223,1,224
3510807,Casa Branca,29,4,1,5
3510906,Cássia dos Coqueiros,21,11,5,16
3511003,Castilho,1062,570,1,571
3511102,Catanduva,6740,3695,36,3731
3511201,Catiguá,475,258,3,261
3511300,Cedral,1323,731,115,846
3511409,Cerqueira César,48,11,1,12
3511508,Cerquilho,626,220,27,247
3511607,Cesário Lange,347,175,3,178
3511706,Charqueada,1170,555,4,559
3511904,Clementina,270,240,3,243
3512001,Colina,292,156,8,164
3512100,Colômbia,255,210,4,214
3512209,Conchal,155,33,1,34
3512308,Conchas,39,2,0,2
3512407,Cordeirópolis,599,546,3,549
3512506,Coroados,1420,469,7,476
3512605,Coronel Macedo,2,0,0,0
3512704,Corumbataí,48,18,3,21
3512803,Cosmópolis,659,505,8,513
3512902,Cosmorama,593,233,4,237
3513009,Cotia,655,246,13,259
3513108,Cravinhos,721,51,0,51
3513207,Cristais Paulista,114,56,4,60
3513306,Cruzália,30,26,0,26
3513405,Cruzeiro,62,15,0,15
3513504,Cubatão,1009,47,0,47
3513603,Cunha,4,0,1,1
3513702,Descalvado,1496,842,6,848
3513801,Diadema,628,154,21,175
3513850,Dirce Reis,275,235,7,242
3513900,Divinolândia,18,7,4,11
3514007,Dobrada,754,256,15,271
3514106,Dois Córregos,137,58,4,62
3514205,Dolcinópolis,267,216,5,221
3514304,Dourado,629,209,9,218
3514403,Dracena,2451,1754,17,1771
3514502,Duartina,714,670,1,671
3514601,Dumont,340,208,2,210
3514700,Echaporã,49,34,2,36
3514809,Eldorado,9,0,0,0
3514908,Elias Fausto,74,10,1,11
3514924,Elisiário,315,179,4,183
3514957,Embaúba,299,251,2,253
3515004,Embu das Artes,312,48,8,56
3515103,Embu-Guaçu,36,6,1,7
3515129,Emilianópolis,44,19,2,21
3515152,Engenheiro Coelho,267,43,0,43
3515186,Espírito Santo do Pinhal,1630,674,8,682
3515194,Espírito Santo do Turvo,330,187,5,192
3515202,Estrela d'Oeste,447,368,2,370
3515301,Estrela do Norte,100,37,0,37
3515350,Euclides da Cunha Paulista,1021,654,0,654
3515400,Fartura,142,72,5,77
3515509,Fernandópolis,1292,914,1,915
3515608,Fernando Prestes,185,65,5,70
3515657,Fernão,76,16,8,24
3515707,Ferraz de Vasconcelos,541,194,4,198
3515806,Flora Rica,3,0,0,0
3515905,Floreal,439,295,4,299
3516002,Flórida Paulista,365,228,3,231
3516101,Florínea,35,5,3,8
3516200,Franca,9664,7073,36,7109
3516309,Francisco Morato,282,52,0,52
3516408,Franco da Rocha,391,84,6,90
3516507,Gabriel Monteiro,500,476,2,478
3516606,Gália,420,305,2,307
3516705,Garça,8926,8042,22,8064
3516804,Gastão Vidigal,390,296,2,298
3516853,Gavião Peixoto,670,181,84,265
3516903,General Salgado,1393,1201,4,1205
3517000,Getulina,257,32,1,33
3517109,Glicério,702,332,2,334
3517208,Guaiçara,210,98,1,99
3517307,Guaimbê,253,126,0,126
3517406,Guaíra,1100,454,0,454
3517505,Guapiaçu,1290,572,23,595
3517604,Guapiara,5,0,1,1
3517703,Guará,30,1,0,1
3517802,Guaraçaí,1954,1340,9,1349
3517901,Guaraci,265,153,5,158
3518008,Guarani d'Oeste,58,41,0,41
3518107,Guarantã,116,18,0,18
3518206,Guararapes,1662,809,1,810
3518305,Guararema,466,15,0,15
3518404,Guaratinguetá,294,50,1,51
3518503,Guareí,15,1,3,4
3518602,Guariba,1278,1046,26,1072
3518701,Guarujá,477,81,5,86
3518800,Guarulhos,3309,1048,23,1071
3518859,Guatapará,288,55,0,55
3518909,Guzolândia,109,85,0,85
3519006,Herculândia,376,239,4,243
3519055,Holambra,715,125,11,136
3519071,Hortolândia,3301,1139,6,1145
3519105,Iacanga,256,162,21,183
3519204,Iacri,431,351,0,351
3519253,Iaras,399,245,7,252
3519303,Ibaté,2228,1367,15,1382
3519402,Ibirá,1235,836,5,841
3519501,Ibirarema,56,1,1,2
3519600,Ibitinga,1516,502,2,504
3519709,Ibiúna,41,6,3,9
3519808,Icém,218,176,2,178
3519907,Iepê,331,124,2,126
3520004,Igaraçu do Tietê,195,29,14,43
3520103,Igarapava,92,70,0,70
3520202,Igaratá,20,4,1,5
3520301,Iguape,28,8,0,8
3520400,Ilhabela,2314,406,24,430
3520426,Ilha Comprida,7,4,0,4
3520442,Ilha Solteira,260,57,1,58
3520509,Indaiatuba,2069,1372,10,1382
3520608,Indiana,466,234,8,242
3520707,Indiaporã,96,5,7,12
3520806,Inúbia Paulista,388,278,0,278
3520905,Ipaussu,140,18,11,29
3521002,Iperó,277,13,0,13
3521101,Ipeúna,166,46,0,46
3521150,Ipiguá,224,42,4,46
3521200,Iporanga,0,0,0,0
3521309,Ipuã,149,81,2,83
3521408,Iracemápolis,413,82,5,87
3521507,Irapuã,96,8,1,9
3521606,Irapuru,302,150,1,151
3521705,Itaberá,67,7,1,8
3521804,Itaí,58,3,1,4
3521903,Itajobi,1656,1213,5,1218
3522000,Itaju,37,17,0,17
3522109,Itanhaém,925,98,0,98
3522158,Itaoca,5,0,1,1
3522208,Itapecerica da Serra,123,10,0,10
3522307,Itapetininga,1171,66,3,69
3522406,Itapeva,1417,595,43,638
3522505,Itapevi,176,45,4,49
3522604,Itapira,537,116,6,122
3522653,Itapirapuã Paulista,2,1,0,1
3522703,Itápolis,702,291,0,291
3522802,Itaporanga,504,465,8,473
3522901,Itapuí,630,140,0,140
3523008,Itapura,59,27,0,27
3523107,Itaquaquecetuba,754,352,7,359
3523206,Itararé,386,65,1,66
3523305,Itariri,4,1,0,1
3523404,Itatiba,536,222,1,223
3523503,Itatinga,28,2,2,4
3523602,Itirapina,243,72,0,72
3523701,Itirapuã,279,184,4,188
3523800,Itobi,17,1,1,2
3523909,Itu,2178,497,6,503
3524006,Itupeva,378,160,1,161
3524105,Ituverava,621,512,2,514
3524204,Jaborandi,198,76,6,82
3524303,Jaboticabal,860,460,2,462
3524402,Jacareí,2880,669,50,719
3524501,Jaci,579,278,0,278
3524600,Jacupiranga,5,1,0,1
3524709,Jaguariúna,756,467,6,473
3524808,Jales,3325,2672,12,2684
3524907,Jambeiro,14,0,2,2
3525003,Jandira,66,6,0,6
3525102,Jardinópolis,186,38,2,40
3525201,Jarinu,239,98,10,108
