,Correlação
V00400,0.08695121766326855
V00615,0.05120344999067613
V00137,0.011812917354959492
V00467,-0.0038100142232330853
V00469,-0.011919045469875577
V00136,-0.013411063493476484
V00132,-0.026088188177587117
V00141,-0.03268183055306184
V00140,-0.03568890540296649
V00002,-0.03729986660600415
V00128,-0.03896806388732356
V00470,-0.03963359944787522
V00006,-0.04053362197900196
V00401,-0.043478835757543785
V00050,-0.044343707913005265
V00616,-0.045342234409346614
V00049,-0.04736083421855351
V00135,-0.04739353226719508
V00399,-0.04914804331407392
V00133,-0.05075065659767816
V00131,-0.053839133931621354
V00126,-0.0548342252556729
V00118,-0.05608123785583664
V00315,-0.05662959536822194
V00314,-0.05765059968960689
V00515,-0.057838251271251744
V00585,-0.057987966765381496
V00139,-0.0586351264909685
V00138,-0.059007449751896965
V00309,-0.05925303238873901
V00586,-0.05926483760462271
V00007,-0.05961406777779388
V00134,-0.05970084493752634
V00397,-0.06046639414516922
V00003,-0.06093701824562802
V00580,-0.061284746173004785
V00111,-0.061289074090917633
V00614,-0.06137950853808473
V00142,-0.06255803600941758
V00612,-0.06264853216013344
V00199,-0.06271889432291032
V00001,-0.06290152345796649
V00004,-0.06290152345796649
V00125,-0.06302645493031853
V00508,-0.06340303371040018
V00540,-0.06494077171612124
V00005,-0.06512792203368323
V00129,-0.06517262301746549
V00117,-0.06572957183294482
V00119,-0.06787741598807945
V00047,-0.07023471589912904
V00463,-0.0738525781817398
V00587,-0.07450476684081166
V00514,-0.07494063625197551
V00052,-0.07519860125261973
V00127,-0.07827611298081995
V00316,-0.07848544530091384
V00398,-0.07878470356885157
V00048,-0.08030875987031298
V00613,-0.08036786567484953
V00402,-0.08238127540274948
V00130,-0.08346581726874382
V00636,-0.08513644436737682
V00617,-0.08542746999560233
V00112,-0.08654545561526217
V00638,-0.08690003192976893
V00124,-0.09267428969188105
V00116,-0.09491447948344611
V00581,-0.09600458263824163
V00310,-0.0973973778930356
V00509,-0.09966570614275772
V00513,-0.10282361754409439
V00313,-0.10589978854736318
V00584,-0.10753800801677571
V00468,-0.10929225220101008
V00541,-0.11549604018357389
V00120,-0.11742676007175538
V00200,-0.11902988222545764
V00123,-0.12092472055208722
V00115,-0.12276588989884925
V00201,-0.12623106953628582
V00542,-0.12757746575640241
V00512,-0.1290590636715742
V00465,-0.13101456193888977
V00113,-0.16123637408370184
V00510,-0.16208797745419706
V00121,-0.16237923982796612
V00582,-0.177350073867774
V00311,-0.17994727094123092
V00639,-0.18382817480476027
V00583,-0.18735604294251573
V00312,-0.19131927078644956
V00637,-0.19316493757746925
V00464,-0.19432112512543145
V00466,-0.19514518651465984
V00511,-0.19922975190912035
V00114,-0.20190822427677718
V00122,-0.20332997024910204
V00051,
