CD_MUN,NM_MUN_x,Classificação_incidência,População_total_2021,Total_confirmados_anual,Taxa_incidência_mil
3500105,Adamantina,Alta,35153,1358,386.0
3500204,Adolfo,Alta,3545,176,496.0
3500303,Aguaí,Baixa,36981,6,2.0
3500402,Águas da Prata,Baixa,8262,0,0.0
3500501,Águas de Lindóia,Baixa,18908,22,12.0
3500550,Águas de Santa Bárbara,Baixa,6142,50,81.0
3500600,Águas de São Pedro,Baixa,3588,24,67.0
3500709,Agudos,Baixa,37582,260,69.0
3500758,Alambari,Baixa,6231,1,2.0
3500808,Alfredo Marcondes,Alta,4201,305,726.0
3500907,Altair,Baixa,4211,39,93.0
3501004,Altinópolis,Baixa,16221,10,6.0
3501103,Alto Alegre,Alta,4078,339,831.0
3501152,Alumínio,Baixa,18903,7,4.0
3501202,Álvares Florence,Alta,3616,438,1211.0
3501301,Álvares Machado,Média,25078,658,262.0
3501400,Álvaro de Carvalho,Média,5320,107,201.0
3501509,Alvinlândia,Baixa,3251,16,49.0
3501608,Americana,Média,244370,4310,176.0
3501707,Américo Brasiliense,Alta,41545,3410,821.0
3501806,Américo de Campos,Alta,5993,428,714.0
3501905,Amparo,Baixa,73145,28,4.0
3502002,Analândia,Baixa,5115,45,88.0
3502101,Andradina,Alta,57245,1961,343.0
3502200,Angatuba,Baixa,25724,11,4.0
3502309,Anhembi,Baixa,6911,8,12.0
3502408,Anhumas,Alta,4172,292,700.0
3502507,Aparecida,Baixa,36211,42,12.0
3502606,Aparecida d'Oeste,Alta,4122,386,936.0
3502705,Apiaí,Baixa,24081,5,2.0
3502754,Araçariguama,Baixa,23343,5,2.0
3502804,Araçatuba,Média,199210,2822,142.0
3502903,Araçoiaba da Serra,Baixa,35389,18,5.0
3503000,Aramina,Baixa,5689,10,18.0
3503109,Arandu,Baixa,6373,0,0.0
3503158,Arapeí,Baixa,2452,0,0.0
3503208,Araraquara,Alta,240542,20928,870.0
3503307,Araras,Média,136739,2937,215.0
3503356,Arco-Íris,Alta,1755,106,604.0
3503406,Arealva,Baixa,8665,41,47.0
3503505,Areias,Baixa,3906,0,0.0
3503604,Areiópolis,Baixa,11186,15,13.0
3503703,Ariranha,Baixa,9851,66,67.0
3503802,Artur Nogueira,Baixa,56247,272,48.0
3503901,Arujá,Baixa,92453,87,9.0
3503950,Aspásia,Alta,1815,199,1096.0
3504008,Assis,Baixa,105768,466,44.0
3504107,Atibaia,Baixa,145378,1121,77.0
3504206,Auriflama,Média,15316,290,189.0
3504305,Avaí,Baixa,5467,43,79.0
3504404,Avanhandava,Média,14063,297,211.0
3504503,Avaré,Baixa,91792,94,10.0
3504602,Bady Bassitt,Média,18013,339,188.0
3504701,Balbinos,Baixa,6127,6,10.0
3504800,Bálsamo,Alta,9209,448,486.0
3504909,Bananal,Baixa,11039,2,2.0
3505005,Barão de Antonina,Média,3525,95,270.0
3505104,Barbosa,Média,7532,75,100.0
3505203,Bariri,Baixa,35844,20,6.0
3505302,Barra Bonita,Baixa,36125,343,95.0
