CD_MUN,NM_MUN_x,Classificação_incidência,Cluster,Taxa_de_incidência,População_total_2021,Total_confirmados_anual,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00051,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639
3500105.0,Adamantina,Q4 - Muito Alta,8,3863.0,35153.0,1358.0,13567,0,38,13567,34506,5,43,12928,186,422,6,0,0,13166,338,42,0,0,0,0,0,12535,330,42,0,0,0,0,0,180,6,0,0,0,0,0,0,422,0,0,0,0,0,0,0,13253,308,0,13156,4,135,251,0,0,0,0,13010,359,94,12,0,68,4,379,4,371,0,6,0,0,33420,948,119,5,4,0,0,0,33750,748,3,33397,25,375,692,7,0,0,0,33127,877,263,37,0,189,27,1047,0,75
3500204.0,Adolfo,Q4 - Muito Alta,0,4965.0,3545.0,176.0,1650,0,0,1650,4351,0,0,1627,21,0,0,0,0,1455,170,13,0,0,0,0,0,1454,148,13,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,5,0,1479,52,108,4,0,0,0,0,1587,29,30,0,0,0,70,114,49,113,21,0,0,0,3838,454,55,0,0,0,0,0,4338,11,0,3908,120,299,22,0,0,0,0,4186,83,78,4,0,0,186,324,9,36
3500303.0,Aguaí,Q1 - Baixa,8,16.0,36981.0,6.0,11480,0,54,11480,32008,4,54,11322,4,121,14,0,0,10717,439,220,77,5,0,0,0,10561,437,220,77,5,0,0,0,4,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,11461,3,4,10698,0,323,417,0,0,11,0,10550,336,404,15,0,134,77,671,77,669,0,0,0,0,29743,1365,636,227,20,0,0,10,31968,25,7,29692,9,1016,1210,0,13,54,0,29194,1081,1242,64,4,413,232,2030,19,326
3500402.0,Águas da Prata,Q1 - Baixa,0,0.0,8262.0,0.0,2830,0,99,2830,7262,5,99,2721,11,92,0,0,0,2540,47,12,213,0,0,0,0,2431,47,12,213,0,0,0,0,11,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,2817,12,0,2475,19,132,141,0,37,7,0,2675,108,33,0,0,4,23,254,23,254,0,0,0,0,6510,129,30,583,0,0,0,0,7224,37,0,6325,66,339,393,4,102,22,0,6866,283,96,0,0,13,79,662,15,86
3500501.0,Águas de Lindóia,Q2 - Moderada,0,116.0,18908.0,22.0,6799,0,116,6799,17806,0,124,5942,79,764,0,0,0,6398,102,24,233,0,0,0,0,5555,93,24,226,0,0,0,0,69,4,0,3,0,0,0,0,762,0,0,0,0,0,0,0,6798,0,0,6274,24,162,269,3,10,3,0,6403,332,27,0,0,3,127,252,122,245,0,6,0,0,16720,329,93,642,4,0,5,3,17804,0,0,16361,90,488,763,21,42,25,0,16777,882,95,6,0,29,364,715,20,72
3500550.0,Águas de Santa Bárbara,Q3 - Alta,0,814.0,6142.0,50.0,2707,0,0,2707,7149,4,0,2620,60,13,0,0,3,2364,244,4,54,5,0,0,5,2280,239,4,54,5,0,0,5,59,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2698,0,4,1613,6,1005,45,0,10,0,0,2497,120,70,5,0,0,13,315,13,310,0,0,0,0,6215,733,16,124,26,0,8,16,7129,7,10,4273,17,2663,137,0,25,8,0,6586,326,210,21,0,3,29,892,0,102
3500600.0,Águas de São Pedro,Q2 - Moderada,0,669.0,3588.0,24.0,1153,0,0,1153,2779,0,0,938,3,210,0,0,0,1153,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,1153,0,0,1149,0,0,0,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,2779,0,0,0,0,0,0,0,2779,0,0,2767,0,12,0,0,0,0,0,2774,5,0,0,0,0,0,0,0,0
3500709.0,Agudos,Q3 - Alta,8,692.0,37582.0,260.0,12933,27,138,12933,37404,71,138,12784,25,106,3,0,0,12296,484,28,90,0,0,0,3,12149,484,28,89,0,0,0,3,25,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,12905,9,3,12170,18,565,89,9,44,4,0,12481,171,239,7,0,6,172,435,171,435,0,0,0,0,35592,1435,93,246,4,0,15,6,37335,55,6,35193,83,1640,283,31,134,22,0,36126,501,731,18,5,17,525,1274,75,148
3500758.0,Alambari,Q1 - Baixa,0,16.0,6231.0,1.0,2139,0,4,2139,6131,0,8,1942,196,0,0,0,0,1748,328,5,42,0,0,0,0,1616,264,5,42,0,0,0,0,131,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,0,0,1121,0,298,702,0,0,0,0,1987,88,57,0,0,0,29,351,29,287,0,64,0,0,5037,938,20,124,0,0,0,3,6110,17,3,3279,19,850,1971,3,0,0,0,5690,255,176,5,0,5,102,992,5,126
3500808.0,Alfredo Marcondes,Q4 - Muito Alta,0,7260.0,4201.0,305.0,1726,0,13,1726,4432,0,13,1726,0,0,0,0,0,1519,166,29,3,0,0,0,0,1519,166,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,1454,7,178,72,0,0,4,0,1536,91,57,0,0,35,17,184,17,184,0,0,0,0,3908,424,69,17,0,0,0,4,4426,0,0,3727,29,484,167,5,0,9,0,3941,229,136,14,0,109,44,472,4,35
