CD_MUN,NM_MUN_x,V00001,V00002,V00004,V00111,V00112,V00113,V00114,V00119,V00120,V00121,V00122,V00127,V00128,V00135,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00397,V00398,V00399,V00463,V00464,V00465,V00466,Cluster
3500105,Adamantina,13567,0,13567,13166,338,42,0,12535,330,42,0,180,6,422,13253,308,0,13156,4,135,251,0,0,13010,359,94,4,379,4,371,8
3500204,Adolfo,1650,0,1650,1455,170,13,0,1454,148,13,0,0,21,0,1644,5,0,1479,52,108,4,0,0,1587,29,30,70,114,49,113,0
3500303,Aguaí,11480,0,11480,10717,439,220,77,10561,437,220,77,4,0,121,11461,3,4,10698,0,323,417,0,0,10550,336,404,77,671,77,669,8
3500402,Águas da Prata,2830,0,2830,2540,47,12,213,2431,47,12,213,11,0,92,2817,12,0,2475,19,132,141,0,37,2675,108,33,23,254,23,254,0
3500501,Águas de Lindóia,6799,0,6799,6398,102,24,233,5555,93,24,226,69,4,762,6798,0,0,6274,24,162,269,3,10,6403,332,27,127,252,122,245,0
3500550,Águas de Santa Bárbara,2707,0,2707,2364,244,4,54,2280,239,4,54,59,0,13,2698,0,4,1613,6,1005,45,0,10,2497,120,70,13,315,13,310,0
3500600,Águas de São Pedro,1153,0,1153,1153,0,0,0,938,0,0,0,3,0,210,1153,0,0,1149,0,0,0,0,0,1151,0,0,0,0,0,0,0
3500709,Agudos,12933,27,12933,12296,484,28,90,12149,484,28,89,25,0,106,12905,9,3,12170,18,565,89,9,44,12481,171,239,172,435,171,435,8
3500758,Alambari,2139,0,2139,1748,328,5,42,1616,264,5,42,131,64,0,2132,0,0,1121,0,298,702,0,0,1987,88,57,29,351,29,287,0
3500808,Alfredo Marcondes,1726,0,1726,1519,166,29,3,1519,166,29,3,0,0,0,1721,0,0,1454,7,178,72,0,0,1536,91,57,17,184,17,184,0
3500907,Altair,1278,0,1278,1072,183,13,3,1071,179,13,3,0,0,0,1270,0,4,1111,0,50,110,0,0,1164,5,71,68,133,66,127,0
3501004,Altinópolis,6076,0,6076,5544,183,8,326,5508,180,8,326,7,3,27,6073,0,0,5508,19,355,184,0,0,5664,146,227,139,387,136,384,0
3501103,Alto Alegre,1515,0,1515,1233,259,8,0,1227,259,8,0,6,0,0,1513,0,0,1216,38,226,24,0,0,1267,139,95,42,227,42,227,0
3501152,Alumínio,5941,0,5941,5404,237,164,44,5340,215,161,43,3,22,56,5922,9,0,4354,27,1242,100,0,152,5071,855,0,110,412,109,376,0
3501202,Álvares Florence,1530,7,1530,1052,440,25,3,1052,440,25,3,0,0,0,1530,0,0,1040,6,93,380,0,0,1085,180,245,21,451,21,451,0
3501301,Álvares Machado,9869,0,9869,8919,847,59,13,8280,777,59,13,204,66,422,9854,3,0,8773,39,533,458,5,4,8941,508,343,28,891,25,823,8
3501400,Álvaro de Carvalho,1168,0,1168,1073,71,9,11,1073,71,9,11,0,0,0,1167,0,0,1079,4,52,17,0,0,1115,3,32,57,34,57,34,0
3501509,Alvinlândia,1007,0,1007,939,51,5,10,937,51,5,10,0,0,0,1007,0,0,938,8,51,5,0,0,962,36,6,3,62,3,62,0
3501608,Americana,89200,3,89200,85373,3234,118,49,63568,634,117,39,1280,131,20360,88556,87,510,87278,356,640,622,3,164,84905,4128,28,2365,1339,143,945,3
3501707,Américo Brasiliense,11402,3,11402,11331,38,11,8,11185,38,11,8,37,0,91,11395,0,0,11312,6,53,14,0,3,11355,23,11,19,41,19,41,8
3501806,Américo de Campos,2361,0,2361,2103,204,44,0,2102,204,44,0,0,0,0,2359,0,0,2100,0,39,213,0,0,2109,86,145,141,107,141,107,0
3501905,Amparo,24489,3,24489,21991,1400,158,725,19485,1262,151,696,294,73,2172,24156,222,89,20842,174,1428,1586,26,299,21484,2711,64,220,2223,166,2070,5
3502002,Analândia,1679,0,1679,1427,107,6,123,1423,89,6,122,0,17,0,1677,0,0,1386,14,95,162,0,7,1463,115,74,193,46,174,46,0
3502101,Andradina,21911,3,21911,20897,917,62,0,20368,894,62,0,144,0,359,21858,11,15,20452,48,476,862,0,0,20904,213,670,37,952,20,944,5
3502200,Angatuba,8488,0,8488,7082,422,333,522,7034,421,333,521,4,0,31,8466,4,3,5900,32,624,1851,3,12,7637,166,537,107,1272,106,1271,8
3502309,Anhembi,2046,0,2046,1608,230,35,158,1585,229,35,158,0,0,21,2044,0,0,1561,91,52,302,0,3,1800,191,49,82,347,82,346,0
3502408,Anhumas,1481,0,1481,1260,161,18,26,1260,161,18,26,0,0,0,1479,0,0,1255,17,90,110,0,0,1334,40,88,3,210,3,210,0
3502507,Aparecida,11364,0,11364,11195,28,0,104,9393,28,0,104,219,0,1559,11346,7,0,10941,3,79,172,24,79,9262,1928,46,0,146,0,146,8
3502606,Aparecida d'Oeste,1616,0,1616,1354,242,0,0,1354,240,0,0,0,0,0,1609,0,3,1342,7,126,122,0,0,1422,88,91,7,248,7,246,0
3502705,Apiaí,8814,12,8814,7102,131,210,1250,6982,131,210,1247,4,0,98,8741,4,9,5067,75,1016,1856,53,606,7450,671,600,87,1569,85,1568,8
3502754,Araçariguama,7395,3,7395,5848,654,391,351,5601,573,381,337,46,81,184,7319,36,19,4206,260,1495,952,0,400,6595,455,162,169,1351,119,1297,0
3502804,Araçatuba,77766,30,77766,75670,1844,130,8,60010,1365,130,8,2967,84,12569,77655,59,9,75617,108,1145,786,0,9,72591,4651,429,528,1477,132,1395,3
3502903,Araçoiaba da Serra,11775,0,11775,9987,878,779,9,9236,859,772,9,713,12,10,11599,41,83,4259,91,5022,2266,3,3,9812,1848,51,471,1242,470,1221,8
3503000,Aramina,2001,3,2001,1867,78,30,15,1864,75,30,15,0,0,0,1999,0,0,1827,56,40,68,0,0,1884,77,35,28,98,26,97,0
3503109,Arandu,2375,0,2375,1851,356,15,129,1848,342,15,129,0,14,0,2363,0,0,1758,91,327,178,0,0,2219,93,43,185,330,172,329,0
3503158,Arapeí,885,0,885,709,25,15,127,704,25,15,127,0,0,3,878,0,0,640,0,158,42,28,8,739,114,27,15,154,15,154,0
3503208,Araraquara,92504,11,92504,91166,921,215,71,73509,821,214,70,3179,16,14345,92414,16,12,91251,53,581,501,3,0,89461,2591,266,297,939,209,919,3
3503307,Araras,47968,0,47968,46215,1144,347,96,39760,719,346,66,1089,24,5294,47887,0,44,46405,151,606,701,4,6,46517,1153,190,670,1008,277,945,7
3503356,Arco-Íris,731,0,731,546,165,4,3,545,165,4,3,0,0,0,560,166,0,546,178,0,0,0,0,554,47,111,179,0,179,0,0
3503406,Arealva,3075,0,3075,2365,580,58,41,2342,545,58,41,20,33,0,3063,9,0,2212,3,498,330,0,0,2479,386,144,115,569,115,536,0
3503505,Areias,1227,0,1227,969,35,13,204,969,35,13,203,0,0,0,1226,0,0,870,0,112,65,25,139,1091,77,50,0,253,0,252,0
3503604,Areiópolis,3400,0,3400,3225,137,10,20,3215,137,10,20,3,0,0,3397,0,0,3215,3,100,62,0,3,3335,9,21,15,155,15,155,0
3503703,Ariranha,2874,0,2874,2766,94,0,0,2766,94,0,0,0,0,0,2871,0,0,2774,9,4,76,0,0,2813,23,30,3,93,3,93,0
3503802,Artur Nogueira,18150,0,18150,16084,1342,627,28,15815,1031,607,28,216,306,33,18068,31,21,15985,131,1174,778,3,0,16489,1456,132,290,1722,242,1427,8
3503901,Arujá,29334,0,29334,27835,602,487,142,25058,547,473,136,1149,34,1419,29094,93,104,23382,364,3456,1520,81,255,28604,560,94,237,1161,196,1119,5
3503950,Aspásia,679,0,679,541,124,9,0,541,124,9,0,0,0,0,679,0,0,545,18,11,102,0,0,556,42,77,58,75,58,75,0
3504008,Assis,38160,0,38160,36989,895,165,53,33377,889,164,53,733,0,2825,38071,50,0,36637,61,956,429,0,3,36698,1015,272,94,1021,94,1018,7
