Code,Description
V00001,Domicílios Particulares Permanentes Ocupados
V00002,Domicílios Particulares Improvisados Ocupados
V00003,Unidades de Habitação em Domicílios Coletivos Com Morador
V00004,Domicílios Particulares Permanentes Ocupados
V00005,"Domicílios Particulares Permanentes Ocupados, Quantidade de moradores"
V00006,"Domicílios Particulares Improvisados Ocupados, Quantidade de moradores"
V00007,"Domicílios Coletivos Com Morador, Quantidade de moradores"
V00047,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa"
V00048,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio"
V00049,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento"
V00050,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é habitação em casa de cômodos ou cortiço"
V00051,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é habitação indígena sem paredes ou maloca"
V00052,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é estrutura residencial permanente degradada ou inacabada"
V00111,"Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição"
V00112,"Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano"
V00113,"Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba"
V00114,"Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina"
V00115,"Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa"
V00116,"Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada"
V00117,"Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés"
V00118,"Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água"
V00119,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza rede geral de distribuição"
V00120,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza poço profundo ou artesiano"
V00121,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza poço raso, freático ou cacimba"
V00122,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza fonte, nascente ou mina"
V00123,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza carro-pipa"
V00124,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza água da chuva armazenada"
V00125,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza rios, açudes, córregos, lagos e igarapés"
V00126,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza outra forma de abastecimento de água"
V00127,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza rede geral de distribuição"
V00128,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza poço profundo ou artesiano"
V00129,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza poço raso, freático ou cacimba"
V00130,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza fonte, nascente ou mina"
V00131,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza carro-pipa"
V00132,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza água da chuva armazenada"
V00133,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza rios, açudes, córregos, lagos e igarapés"
V00134,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza outra forma de abastecimento de água"
V00135,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza rede geral de distribuição"
V00136,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza poço profundo ou artesiano"
V00137,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza poço raso, freático ou cacimba"
V00138,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza fonte, nascente ou mina"
V00139,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza carro-pipa"
V00140,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza água da chuva armazenada"
V00141,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza rios, açudes, córregos, lagos e igarapés"
V00142,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza outra forma de abastecimento de água"
V00199,"Domicílios Particulares Permanentes Ocupados, Água chega encanada até dentro da casa, apartamento ou habitação"
V00200,"Domicílios Particulares Permanentes Ocupados, Água chega encanada, mas apenas ao terreno"
V00201,"Domicílios Particulares Permanentes Ocupados, Água não chega encanada ao domicílio"
V00309,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rede geral ou pluvial"
V00310,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro ligada à rede"
V00311,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa séptica ou fossa filtro não ligada à rede"
V00312,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é fossa rudimentar ou buraco"
V00313,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é vala"
V00314,"Domicílios Particulares Permanentes Ocupados, Destinação do esgoto do banheiro ou sanitário ou buraco para dejeções é rio, lago, córrego ou mar"
