CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Taxa_incidência_mil
3500105,Adamantina,-0.07431812436506223,0.5153026163153457,0.5122192537402541
3500204,Adolfo,-0.13735327511244638,-0.20768611261521222,0.8454357644612203
3500303,Aguaí,-0.07067258350305837,-0.3116692631382197,-0.6510092927765729
3500402,Águas da Prata,-0.1279462640369145,-0.31533925668609053,-0.6570677747896814
3500501,Águas de Lindóia,-0.10671517650032088,-0.30188261367723074,-0.6207168827110305
3500550,Águas de Santa Bárbara,-0.13217413418322096,-0.2847559771205001,-0.4116992532587882
3500600,Águas de São Pedro,-0.1372675211424977,-0.30065928249460716,-0.4541086273505475
3500709,Agudos,-0.0694740222021479,-0.15630620294502026,-0.44805014533743903
3500758,Alambari,-0.13199664340821093,-0.3147275910947787,-0.6510092927765729
3500808,Alfredo Marcondes,-0.13604502850113645,-0.1287812513359889,1.5421611959686947
3500907,Altair,-0.13602508571742747,-0.29148429862493,-0.37534836118013737
3501004,Altinópolis,-0.11207380248292721,-0.3092226007729725,-0.638892328750356
3501103,Alto Alegre,-0.13629032474075706,-0.10798462123138738,1.8602315016568896
3501152,Alumínio,-0.10672514789217538,-0.31105759754690787,-0.6449508107634645
3501202,Álvares Florence,-0.1372116813481125,-0.04742972769151832,3.0113430841474997
3501301,Álvares Machado,-0.09441047895187238,0.0871367023970796,0.13659336892752869
3501400,Álvaro de Carvalho,-0.13381343100410018,-0.24989103841572702,-0.04819033247227977
3501509,Alvinlândia,-0.13793959295349076,-0.3055526072251016,-0.5086349654685238
3501608,Americana,0.3429188135593704,2.320939441867805,-0.1239213576361357
3501707,Américo Brasiliense,-0.0615706970182741,1.7704404096871773,1.8299390915913474
3501806,Américo de Campos,-0.13247128166048497,-0.053546383604636406,1.5058103038900439
3501905,Amparo,0.0014484995021428499,-0.2982126201293599,-0.6449508107634645
3502002,Analândia,-0.13422225807013452,-0.28781430507705913,-0.39049456621290857
3502101,Andradina,-0.03026052659515555,0.8841369678763663,0.3819618904584219
3502200,Angatuba,-0.09312217512427146,-0.30861093518166066,-0.6449508107634645
3502309,Anhembi,-0.13064053411599943,-0.31044593195559606,-0.6207168827110305
3502408,Anhumas,-0.13610286257389254,-0.1367329040230424,1.4634009297982846
3502507,Aparecida,-0.0722081778486508,-0.2896493018509946,-0.6207168827110305
3502606,Aparecida d'Oeste,-0.1362025764924375,-0.07923633843973237,2.1783018073450844
3502705,Apiaí,-0.09639877448765895,-0.3122809287295315,-0.6510092927765729
3502754,Araçariguama,-0.09787055192538262,-0.3122809287295315,-0.6510092927765729
3502804,Araçatuba,0.2528572023295594,1.4107810419958338,-0.22691555185897977
3502903,Araçoiaba da Serra,-0.07384747466953,-0.304329276042478,-0.6419215697569103
3503000,Aramina,-0.13307754228523833,-0.3092226007729725,-0.6025414366717051
3503109,Arandu,-0.13171345587954322,-0.31533925668609053,-0.6570677747896814
3503158,Arapeí,-0.13953302137183926,-0.31533925668609053,-0.6570677747896814
3503208,Araraquara,0.33528471595556797,12.485598238287444,1.978371900912505
3503307,Araras,0.12827263822111104,1.4811225849966916,-0.005780958380520453
3503356,Arco-Íris,-0.14092303339635606,-0.25050270400703883,1.1725937931690777
3503406,Arealva,-0.1271425698534421,-0.2902609674423064,-0.5146934474816323
3503505,Areias,-0.13663334062055174,-0.31533925668609053,-0.6570677747896814
3503604,Areiópolis,-0.12211499408040505,-0.3061642728164134,-0.6176876417044763
3503703,Ariranha,-0.12477735570555556,-0.27496932765951115,-0.4541086273505475
3503802,Artur Nogueira,-0.03225081640931302,-0.14896621584927858,-0.511664206475078
