,Correlacao
Total_autoctone_ponderado,1.0
V00120_idx,0.2615168560360238
V00112_idx,0.24910578564678373
V00615_idx,0.2409125823321701
V00509_idx,0.23559228833853335
V00400_idx,0.21655399426091126
V00047_idx,0.21558052864883978
V00119_idx,0.21340014115374165
V00399_idx,0.19023922824374764
V00614_idx,0.18517421652284718
V00309_idx,0.18477185646935637
V00401_idx,0.1678198565206179
V00616_idx,0.16062448600757323
V00199_idx,0.11070366980394306
V00397_idx,0.10462907102477613
V00402_idx,0.0955140760181348
V00400,0.0942110511560485
V00617_idx,0.09142575159130491
V00580_idx,0.09115450875144585
V00111_idx,0.07087257210276138
V00615,0.05727786386738499
V00137,0.009088045169793914
V00002_idx,0.0058688341194941636
V00007_idx,-0.0033598680118604326
V00465_idx,-0.005090619654054347
V00006_idx,-0.005323826256250155
V00003_idx,-0.0059403103893955434
V00467,-0.006531418874386549
V00463_idx,-0.01119989675039497
V00636_idx,-0.013090058684161457
V00469,-0.013946683295734839
V00136,-0.01542792190253224
V00141_idx,-0.021540218370746836
V00469_idx,-0.023050795998278112
V00137_idx,-0.023070388490225878
V00612_idx,-0.02359331825230476
V00132,-0.02608742107144723
V00140_idx,-0.02736707959138326
V00132_idx,-0.027370906294934088
V00141,-0.03220384139986946
V00136_idx,-0.0323088082415433
V00142_idx,-0.0339607022807532
V00140,-0.03566373004868162
V00002,-0.03726219988450894
V00470_idx,-0.038386410367036716
V00006,-0.04046322771515052
V00310_idx,-0.04068415332302691
V00470,-0.04093216480990353
V00128,-0.04172800512091786
V00200_idx,-0.04312654630469195
V00401,-0.043331487554191965
V00138_idx,-0.04357718247296174
V00050,-0.04423651898528077
V00133_idx,-0.044981010670786394
V00616,-0.0452029146467406
V00049,-0.04742376330136403
V00135,-0.04744417703343661
V00467_idx,-0.04749605155533743
V00399,-0.04842583821591245
V00638_idx,-0.04975985576184133
V00133,-0.051489360026389173
V00139_idx,-0.051523885833574944
V00131_idx,-0.05384077429946121
V00131,-0.054464884031896706
V00126,-0.05475536184399374
V00129_idx,-0.05563952914602086
V00118,-0.056003838478017064
V00315,-0.05658762397216745
V00314,-0.05757621148122689
V00515,-0.05778507575781883
V00585,-0.057908556372069486
V00581_idx,-0.057911189102361475
V00138,-0.05820239455082438
V00007,-0.058501005474062145
V00139,-0.05920710970818207
V00586,-0.059207796331324544
V00309,-0.059238197479381735
V00541_idx,-0.0594720987236334
V00134,-0.059678863842542555
V00003,-0.06010356419813951
V00397,-0.06045189571923819
V00614,-0.06081375954477075
V00580,-0.0612582641290554
V00111,-0.061275826251455424
V00125,-0.06234809418961798
V00142,-0.06259593343212212
