CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,Total_setores,População
3,Sudeste,35,São Paulo,3500105,Adamantina,107,34687
3,Sudeste,35,São Paulo,3500204,Adolfo,16,4351
3,Sudeste,35,São Paulo,3500303,Aguaí,63,32072
3,Sudeste,35,São Paulo,3500402,Águas da Prata,24,7369
3,Sudeste,35,São Paulo,3500501,Águas de Lindóia,49,17930
3,Sudeste,35,São Paulo,3500550,Águas de Santa Bárbara,29,7177
3,Sudeste,35,São Paulo,3500600,Águas de São Pedro,7,2780
3,Sudeste,35,São Paulo,3500709,Agudos,68,37680
3,Sudeste,35,São Paulo,3500758,Alambari,15,6141
3,Sudeste,35,São Paulo,3500808,Alfredo Marcondes,15,4445
3,Sudeste,35,São Paulo,3500907,Altair,13,3451
3,Sudeste,35,São Paulo,3501004,Altinópolis,37,16818
3,Sudeste,35,São Paulo,3501103,Alto Alegre,16,3841
3,Sudeste,35,São Paulo,3501152,Alumínio,43,17301
3,Sudeste,35,São Paulo,3501202,Álvares Florence,11,3915
3,Sudeste,35,São Paulo,3501301,Álvares Machado,47,27255
3,Sudeste,35,São Paulo,3501400,Álvaro de Carvalho,13,4808
3,Sudeste,35,São Paulo,3501509,Alvinlândia,11,2885
3,Sudeste,35,São Paulo,3501608,Americana,514,237240
3,Sudeste,35,São Paulo,3501707,Américo Brasiliense,69,33019
3,Sudeste,35,São Paulo,3501806,Américo de Campos,16,5870
3,Sudeste,35,São Paulo,3501905,Amparo,152,68008
3,Sudeste,35,São Paulo,3502002,Analândia,17,4589
3,Sudeste,35,São Paulo,3502101,Andradina,119,59783
3,Sudeste,35,São Paulo,3502200,Angatuba,55,24022
3,Sudeste,35,São Paulo,3502309,Anhembi,38,5674
3,Sudeste,35,São Paulo,3502408,Anhumas,18,4023
3,Sudeste,35,São Paulo,3502507,Aparecida,78,32569
3,Sudeste,35,São Paulo,3502606,Aparecida d'Oeste,14,4086
3,Sudeste,35,São Paulo,3502705,Apiaí,82,24585
3,Sudeste,35,São Paulo,3502754,Araçariguama,45,21522
3,Sudeste,35,São Paulo,3502804,Araçatuba,506,200124
3,Sudeste,35,São Paulo,3502903,Araçoiaba da Serra,91,32443
3,Sudeste,35,São Paulo,3503000,Aramina,19,5420
3,Sudeste,35,São Paulo,3503109,Arandu,33,6885
3,Sudeste,35,São Paulo,3503158,Arapeí,9,2330
3,Sudeste,35,São Paulo,3503208,Araraquara,560,242228
3,Sudeste,35,São Paulo,3503307,Araras,355,130866
3,Sudeste,35,São Paulo,3503356,Arco-Íris,16,2044
3,Sudeste,35,São Paulo,3503406,Arealva,30,8130
3,Sudeste,35,São Paulo,3503505,Areias,20,3577
3,Sudeste,35,São Paulo,3503604,Areiópolis,27,10130
3,Sudeste,35,São Paulo,3503703,Ariranha,25,7602
3,Sudeste,35,São Paulo,3503802,Artur Nogueira,125,51456
3,Sudeste,35,São Paulo,3503901,Arujá,167,86678
3,Sudeste,35,São Paulo,3503950,Aspásia,6,1842
3,Sudeste,35,São Paulo,3504008,Assis,218,101409
3,Sudeste,35,São Paulo,3504107,Atibaia,368,158647
3,Sudeste,35,São Paulo,3504206,Auriflama,44,13692
3,Sudeste,35,São Paulo,3504305,Avaí,16,4483
3,Sudeste,35,São Paulo,3504404,Avanhandava,23,11263
3,Sudeste,35,São Paulo,3504503,Avaré,271,92805
3,Sudeste,35,São Paulo,3504602,Bady Bassitt,54,27260
3,Sudeste,35,São Paulo,3504701,Balbinos,5,3887
3,Sudeste,35,São Paulo,3504800,Bálsamo,23,9596
3,Sudeste,35,São Paulo,3504909,Bananal,32,9969
3,Sudeste,35,São Paulo,3505005,Barão de Antonina,13,3531
3,Sudeste,35,São Paulo,3505104,Barbosa,22,5640
3,Sudeste,35,São Paulo,3505203,Bariri,83,31595
3,Sudeste,35,São Paulo,3505302,Barra Bonita,85,34346
3,Sudeste,35,São Paulo,3505351,Barra do Chapéu,18,5179
3,Sudeste,35,São Paulo,3505401,Barra do Turvo,56,6876
3,Sudeste,35,São Paulo,3505500,Barretos,211,122485
3,Sudeste,35,São Paulo,3505609,Barrinha,68,32092
3,Sudeste,35,São Paulo,3505708,Barueri,479,316473
3,Sudeste,35,São Paulo,3505807,Bastos,64,21503
3,Sudeste,35,São Paulo,3505906,Batatais,121,58402
3,Sudeste,35,São Paulo,3506003,Bauru,674,379146
3,Sudeste,35,São Paulo,3506102,Bebedouro,164,76373
3,Sudeste,35,São Paulo,3506201,Bento de Abreu,11,2606
3,Sudeste,35,São Paulo,3506300,Bernardino de Campos,23,11607
3,Sudeste,35,São Paulo,3506359,Bertioga,294,64188
3,Sudeste,35,São Paulo,3506409,Bilac,20,7319
3,Sudeste,35,São Paulo,3506508,Birigui,288,118979
3,Sudeste,35,São Paulo,3506607,Biritiba Mirim,81,29683
3,Sudeste,35,São Paulo,3506706,Boa Esperança do Sul,33,12978
3,Sudeste,35,São Paulo,3506805,Bocaina,33,11259
3,Sudeste,35,São Paulo,3506904,Bofete,42,10460
3,Sudeste,35,São Paulo,3507001,Boituva,144,61081
3,Sudeste,35,São Paulo,3507100,Bom Jesus dos Perdões,69,22006
3,Sudeste,35,São Paulo,3507159,Bom Sucesso de Itararé,14,3555
3,Sudeste,35,São Paulo,3507209,Borá,8,907
3,Sudeste,35,São Paulo,3507308,Boracéia,12,4715
3,Sudeste,35,São Paulo,3507407,Borborema,50,14226
3,Sudeste,35,São Paulo,3507456,Borebi,11,2713
3,Sudeste,35,São Paulo,3507506,Botucatu,363,145155
3,Sudeste,35,São Paulo,3507605,Bragança Paulista,405,176811
3,Sudeste,35,São Paulo,3507704,Braúna,16,5356
3,Sudeste,35,São Paulo,3507753,Brejo Alegre,8,2565
3,Sudeste,35,São Paulo,3507803,Brodowski,47,25201
3,Sudeste,35,São Paulo,3507902,Brotas,66,23898
3,Sudeste,35,São Paulo,3508009,Buri,60,20250
3,Sudeste,35,São Paulo,3508108,Buritama,56,17210
3,Sudeste,35,São Paulo,3508207,Buritizal,12,4356
3,Sudeste,35,São Paulo,3508306,Cabrália Paulista,13,4299
3,Sudeste,35,São Paulo,3508405,Cabreúva,76,47011
3,Sudeste,35,São Paulo,3508504,Caçapava,195,96202
3,Sudeste,35,São Paulo,3508603,Cachoeira Paulista,92,31564
3,Sudeste,35,São Paulo,3508702,Caconde,46,17101
3,Sudeste,35,São Paulo,3508801,Cafelândia,65,16654
3,Sudeste,35,São Paulo,3508900,Caiabu,14,3712
3,Sudeste,35,São Paulo,3509007,Caieiras,204,95032
