DRS__0_level_1__0,DRS__1_level_1__1,GVE__2_level_1__2,GVE__3_level_1__3,Região_de_Saúde__4_level_1__4,Região_de_Saúde__5_level_1__5,município__6_level_1__6,Janeiro_notificados__7,Janeiro_confirmados_autóctones,Janeiro_confirmados_importados,Fevereiro_notificados__10,Fevereiro_confirmados_autóctones,Fevereiro_confirmados_importados,Março_notificados__13,Março_confirmados_autóctones,Março_confirmados_importados,Abril_notificados__16,Abril_confirmados_autóctones,Abril_confirmados_importados,Maio_notificados__19,Maio_confirmados_autóctones,Maio_confirmados_importados,Junho_notificados__22,Junho_confirmados_autóctones,Junho_confirmados_importados,Julho_notificados__25,Julho_confirmados_autóctones,Julho_confirmados_importados,Julho_notificados__28,Agosto_confirmados_autóctones,Agosto_confirmados_importados,Agosto_notificados__31,Setembro_confirmados_autóctones,Setembro_confirmados_importados,Setembro_notificados__34,Outubro_confirmados_autóctones,Outubro_confirmados_importados,Outubro_notificados__37,Novembro_confirmados_autóctones,Novembro_confirmados_importados,Novembro_notificados__40,Dezembro_confirmados_autóctones,Dezembro_confirmados_importados,Total_notificados__43,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Total_confirmados_anual
9,Marília,XIX,MARÍLIA,35091.0,ADAMANTINA,350010 Adamantina,23,9,0,21,7,0,166,128,0,576,429,1,731,468,0,205,95,0,96,40,0,39,21,0,18,11,0,29,12,0,62,39,0,175,98,0,2141,1357,1,9,7,128,430,468,95,40,21,11,12,39,98,1358
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156.0,JOSÉ BONIFÁCIO,350020 Adolfo,102,49,0,37,28,0,68,48,0,52,34,0,23,14,0,7,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,297,176,0,49,28,48,34,14,2,0,0,0,0,0,1,176
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142.0,MANTIQUEIRA,350030 Aguaí,9,2,0,3,1,0,5,1,0,7,0,1,8,1,0,1,0,0,2,0,0,0,0,0,3,0,0,2,0,0,1,0,0,3,0,0,44,5,1,2,1,1,1,1,0,0,0,0,0,0,0,6
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142.0,MANTIQUEIRA,350040 Águas da Prata,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,35074.0,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,1,0,0,0,0,0,1,0,1,26,2,4,54,9,3,9,0,3,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,4,0,0,101,11,11,0,0,1,6,12,3,0,0,0,0,0,0,22
6,Bauru,XVI,BOTUCATU,35061.0,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,1,0,0,0,0,0,2,1,0,19,10,2,46,30,2,15,2,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,88,46,4,0,0,1,12,32,2,2,1,0,0,0,0,50
10,Piracicaba,XX,PIRACICABA,35103.0,PIRACICABA,350060 Águas de São Pedro,0,0,0,5,0,1,12,0,3,24,8,3,35,5,1,13,3,0,9,0,0,2,0,0,4,0,0,3,0,0,0,0,0,3,0,0,110,16,8,0,1,3,11,6,3,0,0,0,0,0,0,24
6,Bauru,XV,BAURU,35062.0,BAURU,350070 Agudos,2,1,1,5,0,0,40,34,1,98,74,2,117,95,1,52,19,1,23,13,0,24,5,0,6,2,0,9,1,0,12,4,0,11,5,1,399,253,7,2,0,35,76,96,20,13,5,2,1,4,6,260
16,Sorocaba,XXXI,SOROCABA,35161.0,ITAPETININGA,350075 Alambari,2,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112.0,ALTA SOROCABANA,350080 Alfredo Marcondes,12,4,1,4,1,0,3,0,0,27,2,4,70,8,12,30,4,10,22,3,2,12,3,1,6,0,2,18,2,5,115,25,57,271,137,22,590,189,116,5,1,0,6,20,14,5,4,2,7,82,159,305
5,Barretos,XIV,BARRETOS,35051.0,NORTE-BARRETOS,350090 Altair,9,2,1,10,2,3,29,12,4,47,13,0,5,1,0,1,0,0,1,1,0,0,0,0,1,0,0,3,0,0,4,0,0,2,0,0,112,31,8,3,5,16,13,1,0,1,0,0,0,0,0,39
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35133.0,VALE DAS CACHOEIRAS,350100 Altinópolis,2,0,0,4,0,0,8,0,2,26,3,2,5,3,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,2,0,0,55,6,4,0,0,2,5,3,0,0,0,0,0,0,0,10
2,Araçatuba,XI,ARAÇATUBA,35023.0,CONSÓRCIOS DO DRS II,350110 Alto Alegre,112,102,2,81,75,2,102,95,4,40,35,2,22,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,358,329,10,104,77,99,37,22,0,0,0,0,0,0,0,339
16,Sorocaba,XXXI,SOROCABA,35163.0,SOROCABA,350115 Alumínio,4,0,0,2,0,0,6,2,2,3,2,0,12,0,1,5,0,0,0,0,0,1,0,0,1,0,0,3,0,0,7,0,0,5,0,0,49,4,3,0,0,4,2,1,0,0,0,0,0,0,0,7
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157.0,VOTUPORANGA,350120 Álvares Florence,54,34,0,146,101,0,300,183,0,133,77,1,57,17,0,24,8,0,5,0,0,10,0,0,5,0,0,14,1,0,13,1,0,35,15,0,796,437,1,34,101,183,78,17,8,0,0,0,1,1,15,438
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112.0,ALTA SOROCABANA,350130 Álvares Machado,24,4,0,11,2,0,23,4,1,91,20,1,172,65,0,97,21,0,76,31,0,63,23,2,50,27,0,80,41,0,178,128,2,355,285,1,1220,651,7,4,2,5,21,65,21,31,25,27,41,130,286,658
9,Marília,XIX,MARÍLIA,35093.0,MARÍLIA,350140 Álvaro de Carvalho,5,0,0,4,2,0,23,8,1,91,47,1,80,34,0,30,12,0,9,1,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,250,105,2,0,2,9,48,34,12,1,1,0,0,0,0,107
9,Marília,XIX,MARÍLIA,35093.0,MARÍLIA,350150 Alvinlândia,1,0,0,2,0,0,4,0,0,9,2,1,17,11,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,2,0,0,41,14,2,0,0,0,3,12,0,0,0,0,0,1,0,16
7,Campinas,XVII,CAMPINAS,35072.0,REG METRO CAMPINAS,350160 Americana,113,9,1,148,76,0,1240,815,4,2337,1663,4,1662,1312,1,360,252,1,139,86,0,101,35,0,94,17,0,94,19,0,84,6,0,71,9,0,6443,4299,11,10,76,819,1667,1313,253,86,35,17,19,6,9,4310
3,Araraquara,XII,ARARAQUARA,35031.0,CENTRAL DO DRS III,350170 Américo Brasiliense,19,3,3,153,111,2,995,798,0,1541,1436,12,880,833,3,172,127,0,73,48,0,28,16,0,35,4,0,37,6,0,32,3,0,22,5,0,3987,3390,20,6,113,798,1448,836,127,48,16,4,6,3,5,3410
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157.0,VOTUPORANGA,350180 Américo de Campos,22,8,0,129,108,3,203,137,3,241,107,4,137,49,0,18,8,0,2,0,0,2,0,0,6,0,0,3,0,0,7,1,0,3,0,0,773,418,10,8,111,140,111,49,8,0,0,0,0,1,0,428
7,Campinas,XVII,CAMPINAS,35074.0,CIRCUITO DAS AGUAS,350190 Amparo,2,0,0,4,0,0,6,0,1,37,9,2,63,8,4,23,3,0,7,0,0,7,0,0,11,0,1,9,0,0,5,0,0,9,0,0,183,20,8,0,0,1,11,12,3,0,0,1,0,0,0,28
10,Piracicaba,XX,PIRACICABA,35104.0,RIO CLARO,350200 Analândia,0,0,0,0,0,0,2,0,0,18,8,1,49,20,4,23,9,1,15,0,0,13,1,0,7,0,0,6,0,0,6,0,0,5,1,0,144,39,6,0,0,0,9,24,10,0,1,0,0,0,1,45
2,Araçatuba,XI,ARAÇATUBA,35022.0,LAGOS DO DRS II,350210 Andradina,70,9,0,94,35,0,359,165,0,668,662,0,843,843,0,189,187,0,154,21,0,86,8,0,63,3,0,56,6,1,74,11,0,87,10,0,2743,1960,1,9,35,165,662,843,187,21,8,3,7,11,10,1961
16,Sorocaba,XXXI,SOROCABA,35161.0,ITAPETININGA,350220 Angatuba,1,1,0,3,0,0,3,1,1,6,3,0,5,0,2,3,0,0,5,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,29,8,3,1,0,2,3,2,0,3,0,0,0,0,0,11
6,Bauru,XVI,BOTUCATU,35063.0,POLO CUESTA,350230 Anhembi,2,1,0,0,0,0,2,1,0,3,3,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,19,8,0,1,0,1,3,3,0,0,0,0,0,0,0,8
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112.0,ALTA SOROCABANA,350240 Anhumas,0,0,0,2,2,0,25,16,1,150,118,0,140,84,1,71,49,0,18,11,0,10,4,0,6,0,0,6,1,0,13,2,1,3,2,0,444,289,3,0,2,17,118,85,49,11,4,0,1,3,2,292
17,Taubaté,XXXIII,TAUBATÉ,35172.0,CIRCUITO DA FÉ - VALE HISTÓRICO,350250 Aparecida,8,0,0,9,1,0,6,5,0,22,9,1,41,18,0,12,5,0,5,1,0,4,0,0,0,0,0,4,1,0,8,0,0,7,1,0,126,41,1,0,1,5,10,18,5,1,0,0,1,0,1,42
15,São José do Rio Preto,XXX,JALES,35153.0,JALES,350260 Aparecida d'Oeste,4,2,1,34,19,2,175,146,5,147,146,0,50,49,0,7,7,0,1,1,0,11,5,2,2,0,0,1,1,0,1,0,0,0,0,0,433,376,10,3,21,151,146,49,7,1,7,0,1,0,0,386
16,Sorocaba,XXXII,ITAPEVA,35162.0,ITAPEVA,350270 Apiaí,0,0,0,1,1,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,1,0,0,11,3,2,0,1,2,1,0,0,0,0,0,0,1,0,5
16,Sorocaba,XXXI,SOROCABA,35163.0,SOROCABA,350275 Araçariguama,2,0,0,2,0,0,2,0,1,6,0,3,4,1,0,7,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,32,1,4,0,0,1,3,1,0,0,0,0,0,0,0,5
2,Araçatuba,XI,ARAÇATUBA,35021.0,CENTRAL DO DRS II,350280 Araçatuba,557,66,0,519,142,0,2238,743,3,3565,1074,5,3109,419,3,1468,172,0,1008,63,0,735,32,0,519,26,0,679,36,0,675,19,0,682,19,0,15754,2811,11,66,142,746,1079,422,172,63,32,26,36,19,19,2822
16,Sorocaba,XXXI,SOROCABA,35163.0,SOROCABA,350290 Araçoiaba da Serra,8,0,0,12,0,0,14,6,0,30,1,1,35,4,3,20,1,0,11,0,0,10,0,0,11,0,0,11,1,0,5,0,0,19,1,0,186,14,4,0,0,6,2,7,1,0,0,0,1,0,1,18
8,Franca,XVIII,FRANCA,35083.0,ALTA MOGIANA,350300 Aramina,0,0,0,1,0,0,4,3,1,8,5,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,9,1,0,0,4,5,1,0,0,0,0,0,0,0,10
6,Bauru,XVI,BOTUCATU,35061.0,VALE DO JURUMIRIM,350310 Arandu,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Taubaté,XXXIII,TAUBATÉ,35172.0,CIRCUITO DA FÉ - VALE HISTÓRICO,350315 Arapeí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,35031.0,CENTRAL DO DRS III,350320 Araraquara,214,151,1,814,731,0,6969,5286,23,10179,7987,68,6331,4897,26,1689,1227,1,487,321,1,205,85,0,226,65,0,336,26,0,242,18,0,211,10,4,27903,20804,124,152,731,5309,8055,4923,1228,322,85,65,26,18,14,20928
10,Piracicaba,XX,PIRACICABA,35101.0,ARARAS,350330 Araras,60,35,1,230,177,2,1029,741,5,1569,1163,6,1012,687,5,169,88,0,54,13,0,31,7,0,21,3,0,34,1,0,37,2,1,44,0,0,4290,2917,20,36,179,746,1169,692,88,13,7,3,1,3,0,2937
9,Marília,XIX,MARÍLIA,35095.0,TUPÃ,350335 Arco-Íris,1,0,0,4,1,1,12,7,0,26,19,0,48,27,0,20,13,1,11,8,0,7,3,0,9,9,0,2,2,0,9,7,0,10,8,0,159,104,2,0,2,7,19,27,14,8,3,9,2,7,8,106
6,Bauru,XV,BAURU,35062.0,BAURU,350340 Arealva,0,0,0,0,0,0,2,0,0,7,3,0,17,10,0,9,5,0,13,11,0,8,7,0,6,3,1,0,0,0,4,1,0,0,0,0,66,40,1,0,0,0,3,10,5,11,7,4,0,1,0,41
17,Taubaté,XXXIII,TAUBATÉ,35172.0,CIRCUITO DA FÉ - VALE HISTÓRICO,350350 Areias,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,35063.0,POLO CUESTA,350360 Areiópolis,2,0,0,1,0,1,3,2,0,6,4,0,17,4,0,7,2,0,7,0,0,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,50,14,1,0,1,2,4,4,2,0,2,0,0,0,0,15
