CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3500105,Adamantina,35153,1358,1357,1,9,7,128,430,468,95,40,21,11,12,39,98,386.0,Alta
3500204,Adolfo,3545,176,176,0,49,28,48,34,14,2,0,0,0,0,0,1,496.0,Alta
3500303,Aguaí,36981,6,5,1,2,1,1,1,1,0,0,0,0,0,0,0,2.0,Baixa
3500402,Águas da Prata,8262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3500501,Águas de Lindóia,18908,22,11,11,0,0,1,6,12,3,0,0,0,0,0,0,12.0,Baixa
3500550,Águas de Santa Bárbara,6142,50,46,4,0,0,1,12,32,2,2,1,0,0,0,0,81.0,Baixa
3500600,Águas de São Pedro,3588,24,16,8,0,1,3,11,6,3,0,0,0,0,0,0,67.0,Baixa
3500709,Agudos,37582,260,253,7,2,0,35,76,96,20,13,5,2,1,4,6,69.0,Baixa
3500758,Alambari,6231,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,Baixa
3500808,Alfredo Marcondes,4201,305,189,116,5,1,0,6,20,14,5,4,2,7,82,159,726.0,Alta
3500907,Altair,4211,39,31,8,3,5,16,13,1,0,1,0,0,0,0,0,93.0,Baixa
3501004,Altinópolis,16221,10,6,4,0,0,2,5,3,0,0,0,0,0,0,0,6.0,Baixa
3501103,Alto Alegre,4078,339,329,10,104,77,99,37,22,0,0,0,0,0,0,0,831.0,Alta
3501152,Alumínio,18903,7,4,3,0,0,4,2,1,0,0,0,0,0,0,0,4.0,Baixa
3501202,Álvares Florence,3616,438,437,1,34,101,183,78,17,8,0,0,0,1,1,15,1211.0,Alta
3501301,Álvares Machado,25078,658,651,7,4,2,5,21,65,21,31,25,27,41,130,286,262.0,Média
3501400,Álvaro de Carvalho,5320,107,105,2,0,2,9,48,34,12,1,1,0,0,0,0,201.0,Média
3501509,Alvinlândia,3251,16,14,2,0,0,0,3,12,0,0,0,0,0,1,0,49.0,Baixa
3501608,Americana,244370,4310,4299,11,10,76,819,1667,1313,253,86,35,17,19,6,9,176.0,Média
3501707,Américo Brasiliense,41545,3410,3390,20,6,113,798,1448,836,127,48,16,4,6,3,5,821.0,Alta
3501806,Américo de Campos,5993,428,418,10,8,111,140,111,49,8,0,0,0,0,1,0,714.0,Alta
3501905,Amparo,73145,28,20,8,0,0,1,11,12,3,0,0,1,0,0,0,4.0,Baixa
3502002,Analândia,5115,45,39,6,0,0,0,9,24,10,0,1,0,0,0,1,88.0,Baixa
3502101,Andradina,57245,1961,1960,1,9,35,165,662,843,187,21,8,3,7,11,10,343.0,Alta
3502200,Angatuba,25724,11,8,3,1,0,2,3,2,0,3,0,0,0,0,0,4.0,Baixa
3502309,Anhembi,6911,8,8,0,1,0,1,3,3,0,0,0,0,0,0,0,12.0,Baixa
3502408,Anhumas,4172,292,289,3,0,2,17,118,85,49,11,4,0,1,3,2,700.0,Alta
3502507,Aparecida,36211,42,41,1,0,1,5,10,18,5,1,0,0,1,0,1,12.0,Baixa
3502606,Aparecida d'Oeste,4122,386,376,10,3,21,151,146,49,7,1,7,0,1,0,0,936.0,Alta
3502705,Apiaí,24081,5,3,2,0,1,2,1,0,0,0,0,0,0,1,0,2.0,Baixa
3502754,Araçariguama,23343,5,1,4,0,0,1,3,1,0,0,0,0,0,0,0,2.0,Baixa
3502804,Araçatuba,199210,2822,2811,11,66,142,746,1079,422,172,63,32,26,36,19,19,142.0,Média
3502903,Araçoiaba da Serra,35389,18,14,4,0,0,6,2,7,1,0,0,0,1,0,1,5.0,Baixa
3503000,Aramina,5689,10,9,1,0,0,4,5,1,0,0,0,0,0,0,0,18.0,Baixa
3503109,Arandu,6373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3503158,Arapeí,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3503208,Araraquara,240542,20928,20804,124,152,731,5309,8055,4923,1228,322,85,65,26,18,14,870.0,Alta
3503307,Araras,136739,2937,2917,20,36,179,746,1169,692,88,13,7,3,1,3,0,215.0,Média
3503356,Arco-Íris,1755,106,104,2,0,2,7,19,27,14,8,3,9,2,7,8,604.0,Alta
3503406,Arealva,8665,41,40,1,0,0,0,3,10,5,11,7,4,0,1,0,47.0,Baixa
3503505,Areias,3906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3503604,Areiópolis,11186,15,14,1,0,1,2,4,4,2,0,2,0,0,0,0,13.0,Baixa
3503703,Ariranha,9851,66,66,0,2,3,9,23,19,7,2,0,0,0,0,1,67.0,Baixa
3503802,Artur Nogueira,56247,272,265,7,0,15,37,89,73,43,8,5,0,1,1,0,48.0,Baixa
3503901,Arujá,92453,87,85,2,0,3,4,40,35,5,0,0,0,0,0,0,9.0,Baixa
3503950,Aspásia,1815,199,195,4,4,19,36,80,52,6,2,0,0,0,0,0,1096.0,Alta
3504008,Assis,105768,466,463,3,15,8,41,121,146,42,27,23,11,9,9,14,44.0,Baixa
3504107,Atibaia,145378,1121,1115,6,5,4,24,279,344,167,93,60,49,40,30,26,77.0,Baixa
3504206,Auriflama,15316,290,284,6,3,8,66,187,20,1,4,0,0,0,1,0,189.0,Média
3504305,Avaí,5467,43,41,2,0,3,11,1,2,7,4,8,2,2,2,1,79.0,Baixa
3504404,Avanhandava,14063,297,297,0,1,5,89,121,31,29,8,8,1,1,0,3,211.0,Média
3504503,Avaré,91792,94,93,1,0,2,4,42,32,7,5,2,0,0,0,0,10.0,Baixa
3504602,Bady Bassitt,18013,339,171,168,41,37,58,105,33,32,13,4,3,4,5,4,188.0,Média
3504701,Balbinos,6127,6,6,0,0,0,0,0,1,1,0,1,0,2,1,0,10.0,Baixa
3504800,Bálsamo,9209,448,448,0,2,26,137,214,49,13,2,0,0,2,2,1,486.0,Alta
3504909,Bananal,11039,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2.0,Baixa
3505005,Barão de Antonina,3525,95,93,2,0,0,6,40,47,1,0,0,1,0,0,0,270.0,Média
3505104,Barbosa,7532,75,73,2,5,4,26,39,1,0,0,0,0,0,0,0,100.0,Média
3505203,Bariri,35844,20,14,6,0,0,0,5,11,4,0,0,0,0,0,0,6.0,Baixa
3505302,Barra Bonita,36125,343,272,71,0,2,34,177,100,24,6,0,0,0,0,0,95.0,Baixa
3505351,Barra do Chapéu,5794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3505401,Barra do Turvo,7606,12,12,0,0,1,0,3,3,2,2,1,0,0,0,0,16.0,Baixa
3505500,Barretos,123546,2021,2018,3,6,18,138,658,680,224,235,29,12,7,7,7,164.0,Média
3505609,Barrinha,33537,387,383,4,2,6,54,184,84,36,14,3,2,0,0,2,115.0,Média
3505708,Barueri,279704,58,45,13,4,7,11,13,15,5,3,0,0,0,0,0,2.0,Baixa
